"BL1-A","RL1-A"
462,305
465,308
524,668
448,319
473,309
461,317
396,327
437,325
588,334
519,312
438,318
600,309
438,329
557,593
454,414
563,309
493,308
617,637
431,313
553,312
467,334
484,310
544,318
534,675
460,309
529,310
440,329
435,310
441,308
315,518
458,310
486,319
502,310
507,325
492,327
526,317
457,319
372,330
537,314
546,310
437,717
492,314
503,317
424,311
508,313
504,310
576,318
564,373
405,391
474,313
505,326
467,312
539,321
468,305
471,308
309,332
418,308
467,340
454,316
472,305
419,518
398,311
601,363
501,309
411,310
522,432
352,309
490,316
508,311
419,328
419,358
444,308
432,325
446,308
561,319
497,772
443,518
495,305
442,307
395,329
337,340
444,356
493,692
528,313
420,321
473,304
485,307
465,307
434,315
499,316
494,318
314,628
579,302
361,306
587,307
505,314
512,684
469,309
497,304
466,314
526,310
427,317
459,310
442,351
440,314
484,322
392,324
304,310
525,313
573,312
518,314
490,313
511,311
505,313
530,314
490,324
432,313
568,321
439,312
476,315
608,314
495,310
487,311
306,311
470,321
469,310
508,310
518,320
435,313
413,312
530,311
506,344
500,311
426,322
458,313
483,306
506,310
565,319
585,309
564,308
417,317
426,313
426,347
470,313
454,304
575,308
507,315
479,658
443,305
520,313
460,308
559,317
557,752
497,325
399,348
485,339
612,308
550,372
508,336
442,333
511,349
515,306
478,344
580,304
430,405
448,319
434,314
477,306
455,321
480,310
486,311
351,314
439,309
459,318
462,597
403,362
536,662
482,338
467,665
393,310
537,321
310,318
460,331
599,311
493,315
475,311
449,310
552,317
539,310
453,325
447,332
514,309
410,354
436,354
471,314
426,337
409,316
541,318
514,313
456,315
441,312
456,364
405,322
502,315
444,318
513,351
537,314
461,311
438,313
431,355
541,310
521,313
470,323
530,349
432,311
515,309
457,314
433,389
473,315
435,335
510,320
449,315
439,315
450,308
464,307
502,311
468,312
492,335
487,313
499,311
441,315
517,712
474,335
541,308
464,348
446,311
454,326
434,314
311,320
423,310
591,332
436,310
525,309
439,315
439,318
542,311
425,311
502,318
491,314
484,327
538,314
446,578
437,327
578,341
436,373
399,328
318,318
532,316
362,303
413,330
521,310
468,320
431,720
552,347
595,710
521,402
479,545
470,333
552,319
560,320
608,349
388,314
548,329
499,322
483,325
477,331
527,517
638,307
541,327
509,426
474,316
501,308
428,326
468,307
502,319
424,315
587,314
313,312
470,387
513,614
481,346
455,306
453,314
556,315
467,431
450,321
584,314
468,314
490,369
471,309
388,307
498,350
457,306
449,592
454,386
490,306
412,315
444,309
467,325
480,305
473,308
460,309
554,323
440,324
450,307
456,317
452,307
499,389
459,312
484,306
443,312
489,318
399,309
561,313
467,315
500,313
593,334
444,307
474,303
462,313
582,309
394,310
460,329
612,310
404,612
463,310
587,306
312,617
456,307
464,312
491,726
443,324
463,305
480,321
466,414
501,312
539,308
587,317
465,311
462,307
524,335
589,317
483,325
558,316
501,315
669,309
482,310
540,318
516,383
459,342
328,321
489,342
518,313
487,318
577,318
533,309
507,309
484,331
312,325
464,332
648,312
405,314
516,337
472,310
455,322
477,309
417,437
434,568
619,331
544,310
467,312
535,306
456,306
406,304
461,309
517,312
374,314
475,318
475,304
457,304
555,331
539,314
545,380
610,323
481,306
499,319
443,312
501,752
397,306
452,298
474,305
461,313
487,317
515,306
472,314
401,303
456,411
464,315
378,726
508,478
576,301
509,314
491,316
449,414
539,316
439,325
453,314
508,312
517,305
497,327
520,333
414,315
510,328
587,310
651,375
435,310
484,394
505,313
481,308
488,709
532,315
536,320
434,422
514,339
502,311
502,591
497,317
479,307
424,306
319,306
470,521
522,315
482,741
551,361
308,680
497,302
421,314
548,314
486,308
466,313
522,351
542,686
499,356
517,302
504,319
494,327
389,310
483,336
517,324
474,367
367,319
478,336
405,482
463,317
570,307
536,310
544,364
434,318
452,305
527,349
565,328
440,315
420,309
486,310
443,307
527,311
473,548
344,306
547,331
574,331
565,311
496,341
493,318
528,304
469,311
532,308
462,313
519,317
477,311
491,314
480,300
441,586
464,333
542,317
400,308
409,319
465,310
482,675
536,328
404,311
367,316
525,317
472,317
479,334
511,356
438,325
504,314
526,311
459,326
522,341
459,319
474,306
322,324
522,309
578,309
567,308
308,312
519,318
405,318
465,308
434,698
524,314
513,311
564,664
483,313
506,334
455,314
527,312
472,308
417,316
496,629
606,310
492,310
497,311
607,322
570,313
429,316
519,316
443,313
572,312
607,310
479,327
420,319
519,321
517,335
441,314
481,345
307,569
477,322
498,629
432,311
525,311
524,622
454,327
546,312
304,347
456,308
634,306
478,314
409,308
448,307
602,312
447,318
576,327
489,329
470,307
566,310
521,308
489,307
591,671
478,305
460,316
445,316
428,312
440,303
449,306
505,609
581,313
311,315
429,319
536,378
553,313
420,305
493,314
503,310
553,325
415,309
678,343
531,363
486,307
476,316
482,308
507,365
459,309
311,587
443,310
469,311
491,705
432,406
392,306
512,310
513,733
694,318
417,313
461,307
517,316
527,480
532,310
429,591
454,307
610,324
464,320
430,324
423,314
420,307
489,305
435,321
461,309
519,315
472,311
462,314
505,310
374,319
444,376
473,340
377,478
446,314
448,319
535,331
501,728
312,318
310,350
498,308
307,309
393,341
494,329
553,381
471,307
316,312
496,309
412,309
449,311
462,318
356,307
492,307
455,381
467,310
336,307
463,320
543,357
540,311
451,357
412,317
469,306
424,316
465,311
492,326
481,310
407,302
454,310
521,318
446,306
377,312
468,321
443,673
596,312
576,320
471,327
490,306
515,330
512,310
483,314
631,310
572,318
469,338
541,362
547,325
441,312
491,310
632,307
592,334
471,319
443,322
529,317
482,337
519,363
526,380
535,314
451,327
425,310
454,313
464,313
509,312
597,340
575,316
489,313
568,316
563,344
533,338
450,330
460,309
474,311
470,323
507,313
350,644
475,317
594,314
543,309
453,313
493,314
525,370
547,338
460,314
522,312
520,314
480,311
468,313
579,321
571,344
450,309
442,325
328,338
475,302
561,318
408,497
449,339
317,344
505,330
648,300
441,324
448,411
430,306
500,697
477,341
509,308
459,305
359,321
484,339
507,312
535,425
556,340
484,459
458,310
467,306
471,305
594,315
428,310
351,313
468,308
496,318
469,310
637,305
529,311
464,339
442,305
612,310
464,312
431,442
442,317
610,314
477,307
498,313
498,308
486,308
471,314
480,500
496,305
512,667
407,316
432,638
466,306
531,309
434,329
470,315
526,313
426,340
472,329
309,603
410,321
490,311
435,329
543,305
519,325
602,327
471,648
476,306
488,325
401,320
482,367
522,331
430,536
534,311
522,319
492,311
506,320
446,309
517,743
503,310
517,616
614,320
494,320
551,761
426,309
486,305
317,356
617,313
310,318
451,316
440,313
406,308
481,309
474,325
473,310
303,315
305,310
391,309
608,331
436,558
642,329
543,346
525,670
485,313
405,314
501,700
451,304
305,329
429,309
521,321
497,314
391,323
512,343
507,359
496,309
538,313
460,303
541,316
477,316
461,310
469,314
506,332
491,318
432,356
494,313
453,304
547,314
519,563
507,319
458,337
456,313
560,618
530,307
506,609
349,387
412,320
457,320
439,403
311,331
547,335
368,335
522,311
462,326
599,327
310,309
509,668
438,312
462,541
327,380
495,311
550,312
462,308
485,310
556,312
466,310
454,317
420,314
311,682
503,392
472,525
452,376
438,315
493,317
470,332
580,313
542,313
472,310
500,309
566,313
487,314
385,313
525,312
491,307
504,333
474,313
470,311
553,321
489,316
525,351
504,311
490,733
523,328
466,327
446,319
488,312
471,312
514,332
597,306
443,307
511,374
548,329
518,308
531,383
539,708
389,308
449,307
374,308
479,308
399,306
576,310
475,333
415,307
449,311
455,310
591,308
494,306
474,354
513,744
442,322
456,312
490,315
493,321
480,308
569,313
457,312
481,326
459,342
476,321
473,315
592,323
596,326
465,481
515,318
412,309
520,305
451,303
503,311
381,323
537,366
305,729
546,304
529,309
543,513
584,327
314,310
379,311
438,400
520,308
308,317
421,306
408,326
550,314
418,306
466,314
460,302
495,311
459,349
434,331
625,311
509,340
484,318
462,305
520,314
520,314
418,313
472,313
507,310
472,312
502,319
454,308
571,310
524,312
551,317
547,315
429,505
511,315
484,346
534,310
349,309
532,303
495,325
635,363
501,318
446,313
503,306
568,314
446,313
466,330
553,315
443,341
504,316
401,632
473,684
464,317
476,310
443,322
493,607
475,322
482,322
448,312
537,366
388,308
412,326
428,343
484,306
445,320
456,319
452,318
483,335
483,308
462,339
364,326
466,308
454,309
476,308
509,325
541,330
514,311
320,313
341,352
496,321
415,315
454,308
526,308
403,313
452,559
453,308
451,304
308,312
467,313
463,309
461,309
577,307
535,306
575,315
467,584
405,323
437,309
500,321
474,310
520,307
474,309
463,344
478,321
570,306
607,312
384,315
538,314
660,403
468,325
485,308
440,311
485,361
516,306
530,660
491,334
492,323
481,310
493,573
370,311
521,313
578,322
560,396
445,333
444,338
498,324
344,318
446,314
405,316
427,662
554,311
464,323
316,321
495,353
474,317
485,308
494,334
563,317
438,309
486,311
532,339
433,307
318,305
554,304
544,474
451,310
452,311
455,346
526,358
468,311
489,313
433,311
498,310
376,330
530,360
508,315
405,343
562,312
499,316
600,408
590,719
466,305
500,304
426,515
450,561
535,379
691,681
408,442
509,321
462,316
465,372
430,312
535,303
650,317
563,324
443,314
625,312
443,307
488,321
444,328
470,317
554,312
309,635
518,314
303,625
456,563
429,315
497,322
494,312
545,332
430,681
545,303
434,305
512,315
581,311
429,352
540,314
485,315
552,311
604,318
444,319
477,656
499,344
520,334
554,315
490,309
533,325
549,318
485,317
418,379
461,325
453,312
448,317
491,322
501,326
500,309
584,314
455,480
452,312
425,351
453,311
307,309
500,320
476,310
471,307
405,328
479,311
405,674
572,309
531,315
431,354
511,308
493,351
479,307
520,337
396,308
539,316
494,310
546,365
614,307
426,317
429,305
495,362
477,309
423,672
