"BL1-A","RL1-A"
498,717
611,676
755,724
524,645
656,686
322,558
557,727
587,684
709,648
609,601
583,694
607,724
657,743
606,688
571,696
610,686
517,627
644,693
548,691
574,697
535,706
536,712
651,744
623,665
561,645
600,710
516,594
560,628
591,735
534,686
322,747
608,583
537,739
550,737
572,689
617,719
641,745
664,739
577,673
634,731
454,743
601,660
632,703
570,674
485,736
680,683
590,723
639,717
604,715
580,671
653,737
661,671
516,667
636,744
591,683
574,693
599,711
648,692
574,690
591,643
607,727
596,652
625,719
585,666
492,670
542,677
566,621
573,719
677,639
700,716
610,686
569,735
532,738
657,723
499,612
529,632
503,676
513,667
628,682
594,721
679,701
527,718
620,717
561,627
634,729
507,601
651,702
546,689
689,752
572,753
486,630
707,733
548,724
664,653
585,619
606,656
612,671
580,675
437,638
568,696
622,712
379,686
611,689
466,710
626,702
537,696
520,661
308,648
538,691
566,689
608,711
614,769
575,707
303,664
626,721
619,700
525,693
659,723
597,684
626,755
669,752
637,715
564,681
687,635
629,669
567,730
409,695
568,700
631,598
528,693
552,609
681,673
552,666
565,656
572,685
482,681
549,742
721,554
606,694
641,704
639,608
628,683
579,678
558,719
610,652
548,683
623,658
548,684
666,645
621,723
560,694
509,498
325,683
589,712
632,738
557,628
507,668
606,714
649,627
630,679
524,691
558,703
612,645
706,688
630,630
633,730
485,666
669,701
646,728
602,682
557,744
612,674
556,703
616,732
595,710
453,691
532,660
661,709
597,731
585,743
594,725
693,670
533,695
608,655
549,661
474,680
577,651
617,660
631,714
507,583
623,680
579,714
567,701
629,681
540,691
599,672
732,740
556,656
607,749
585,677
554,678
592,722
672,730
532,699
539,376
590,617
593,720
610,721
511,684
555,600
573,677
462,621
579,645
603,735
512,641
488,671
661,676
664,684
562,683
609,720
585,728
577,655
649,719
671,749
516,640
640,738
520,675
615,700
565,695
605,705
654,639
564,653
605,298
544,654
567,666
582,709
547,697
617,744
550,717
569,697
495,726
486,702
615,645
703,691
614,666
652,601
618,670
600,680
617,645
396,691
612,695
652,682
612,750
580,705
507,696
532,678
621,725
434,612
509,689
461,589
490,680
519,651
729,725
687,666
713,707
661,689
600,727
717,694
754,749
610,704
567,735
562,680
555,689
564,673
639,658
597,687
547,582
633,713
524,594
603,734
623,728
583,733
565,707
551,699
528,633
589,642
515,705
514,730
336,707
647,635
696,665
409,629
485,613
546,654
621,701
571,727
673,719
502,683
624,661
529,724
569,696
619,726
489,603
577,687
752,667
651,627
641,633
307,735
544,650
621,774
567,655
716,647
641,716
548,528
655,654
535,607
645,697
587,723
601,599
544,679
512,710
555,600
653,751
585,713
568,683
479,561
517,671
532,610
573,702
607,682
624,705
570,700
633,685
734,766
544,686
539,727
623,646
640,674
640,693
636,707
588,717
366,704
520,627
549,680
534,673
640,708
529,683
626,626
619,700
498,678
566,702
551,600
568,760
604,708
589,659
630,731
600,690
587,728
663,647
622,603
552,661
758,667
455,689
525,713
651,609
582,637
640,702
550,465
519,621
557,542
633,622
603,714
429,615
623,695
483,665
617,609
678,729
544,713
568,639
631,705
601,706
626,665
571,596
593,714
615,721
611,706
646,634
303,692
591,720
645,673
709,728
576,671
549,623
664,624
406,707
500,641
548,691
675,701
506,673
634,612
641,719
585,718
531,691
622,721
650,685
614,695
468,647
621,638
654,685
583,670
616,609
622,683
392,304
643,693
471,705
501,689
660,646
568,733
630,625
563,711
564,697
746,751
449,698
639,607
567,693
590,777
652,710
560,683
692,624
545,642
573,669
667,760
297,743
669,634
551,694
537,651
671,672
592,704
581,754
605,709
666,683
571,677
607,689
539,657
584,690
594,713
586,675
557,695
547,726
504,723
558,581
618,713
620,753
643,681
617,649
711,696
626,730
577,583
456,616
362,296
303,667
555,623
609,654
567,693
682,665
350,695
651,550
559,732
574,664
605,744
636,719
634,643
591,714
566,670
609,722
716,698
735,640
647,620
668,699
669,654
615,629
616,653
589,705
631,690
532,635
584,743
581,715
622,683
610,701
562,694
538,664
305,748
726,697
518,675
336,670
406,704
604,616
523,681
614,727
613,584
654,761
692,745
587,676
569,577
650,699
582,693
605,665
626,682
516,652
568,667
602,713
619,679
620,727
642,727
673,748
665,660
541,686
522,668
607,695
651,701
531,640
629,748
656,630
656,673
583,635
615,715
601,620
574,678
490,648
544,651
543,692
504,641
572,638
511,696
631,688
566,733
579,654
560,654
643,673
466,685
524,645
615,717
379,666
631,488
544,693
611,658
624,701
630,705
540,649
741,735
604,663
595,653
566,634
594,672
660,681
553,686
488,712
614,560
520,564
726,751
633,683
652,679
565,678
630,628
566,701
615,708
601,724
694,717
595,685
613,607
574,686
658,591
476,680
405,685
608,725
534,546
614,686
556,721
614,568
589,708
598,723
648,652
529,630
643,610
667,597
621,687
592,669
709,698
616,652
619,686
570,689
570,704
557,683
592,643
596,712
608,734
498,646
636,716
537,718
688,702
572,727
576,700
527,719
602,683
597,553
558,630
657,731
577,697
705,705
550,683
495,691
612,689
581,707
591,750
659,700
701,672
354,745
304,695
588,721
618,669
700,684
558,698
569,676
612,664
522,773
587,706
566,682
672,717
583,724
610,599
605,679
632,724
678,661
570,703
550,707
503,697
648,683
646,718
669,639
644,689
673,735
634,634
449,590
652,632
418,621
559,676
626,639
622,721
624,718
686,660
631,741
568,713
625,762
585,685
558,670
554,640
609,708
631,658
562,717
443,642
764,625
327,693
550,671
601,643
709,738
529,652
727,585
567,674
684,683
616,715
666,717
580,572
553,706
651,685
674,708
548,651
329,636
570,699
575,708
707,672
583,696
647,668
588,734
618,638
555,713
532,703
589,695
527,660
614,740
617,731
574,603
586,699
654,679
598,667
535,689
560,675
593,628
617,715
563,729
594,699
331,718
598,667
605,672
662,619
668,706
585,648
607,771
536,700
488,721
596,786
697,754
630,722
511,563
562,703
618,705
669,702
667,639
547,731
659,701
576,619
522,667
583,710
593,700
710,684
489,699
301,741
486,713
346,730
611,681
652,712
673,656
638,727
559,657
579,695
590,686
577,696
603,702
569,717
603,723
504,621
627,724
562,642
611,664
635,725
612,698
586,697
645,753
632,730
652,462
569,652
593,638
517,702
628,777
569,678
553,672
606,705
568,689
589,688
584,702
578,730
568,716
568,731
579,733
505,687
564,657
653,640
609,713
611,713
385,669
539,691
416,732
671,666
559,692
648,667
600,717
587,734
614,701
600,693
654,707
592,677
602,691
551,631
558,650
589,702
621,570
427,590
650,753
570,695
612,682
576,612
565,650
481,682
598,699
587,699
