"BL1-A","RL1-A"
309,308
313,310
313,309
308,306
309,305
310,308
310,307
308,306
303,303
308,310
311,310
307,307
304,304
305,307
312,308
307,310
307,306
309,308
307,307
307,307
308,309
309,310
311,307
310,307
304,306
307,309
305,309
313,306
312,305
317,309
307,310
308,305
310,304
307,307
305,308
309,308
309,304
310,308
309,303
310,309
309,305
310,305
310,306
312,311
306,305
307,302
309,305
308,307
311,306
304,304
307,306
309,309
308,308
316,313
311,307
311,307
307,305
305,305
308,304
310,304
307,306
308,306
304,306
307,305
309,310
308,306
308,308
312,308
311,306
309,309
307,305
306,306
307,305
309,308
308,304
307,309
306,307
309,306
305,306
306,309
309,308
311,307
311,307
310,306
310,304
304,307
306,303
306,307
309,306
308,305
306,307
307,304
312,306
312,306
313,313
310,304
309,307
309,305
305,305
309,309
307,306
308,306
309,310
308,307
308,307
308,309
308,306
307,309
310,304
307,307
307,308
308,308
312,309
309,306
309,308
309,306
306,306
306,302
304,305
306,306
306,307
310,305
308,308
304,305
308,307
309,306
313,307
311,306
307,306
313,313
320,313
313,307
303,305
309,308
313,305
313,307
310,308
307,305
306,309
309,306
313,308
306,306
307,307
308,311
307,308
308,309
309,305
309,310
308,306
307,309
308,309
310,308
309,305
310,304
304,305
310,308
309,303
309,305
304,305
305,307
310,306
311,304
306,307
310,306
311,305
309,307
307,304
310,309
312,307
309,307
306,309
307,306
306,304
312,310
309,304
309,309
306,308
308,306
309,306
308,306
305,301
306,307
310,303
309,305
306,306
310,307
313,308
305,307
307,306
304,306
307,308
310,305
309,307
310,309
312,307
309,307
310,309
310,306
307,305
308,305
311,308
312,305
307,307
308,304
306,307
310,305
309,305
308,305
311,311
309,308
309,304
317,311
307,305
305,306
309,306
307,306
309,310
309,307
307,303
309,306
306,300
309,307
308,307
308,307
310,306
310,306
308,305
307,308
308,307
311,308
309,304
311,309
310,305
308,308
310,307
309,304
309,307
314,305
310,308
308,308
309,303
309,308
308,306
305,305
307,306
312,305
309,308
309,309
306,306
307,309
309,306
307,305
309,304
307,309
308,306
309,307
311,311
310,306
308,308
310,307
310,304
318,309
312,311
307,305
307,305
307,306
307,309
321,313
311,310
307,307
306,305
318,310
309,302
309,305
307,307
312,305
310,306
310,306
308,305
313,304
305,304
309,304
308,309
307,306
306,306
310,306
310,302
307,306
304,305
312,308
311,308
311,306
308,307
307,307
312,306
306,308
309,306
307,305
308,309
309,306
307,304
311,308
312,305
308,305
311,307
311,305
310,310
309,307
305,306
306,308
311,308
306,303
311,307
310,306
309,308
309,305
304,308
312,305
315,306
310,309
309,306
306,305
308,305
311,304
310,304
308,308
309,310
309,304
310,306
307,306
309,310
305,308
307,308
307,307
307,310
309,305
311,306
305,308
308,306
309,306
309,307
308,309
310,307
305,306
309,307
316,309
312,304
313,307
308,308
303,307
305,305
308,309
307,306
310,305
306,307
305,307
309,306
306,307
306,309
309,309
307,309
308,311
307,307
308,310
313,305
311,310
305,306
305,305
307,308
308,307
309,304
312,309
307,304
312,306
305,305
306,308
313,307
305,306
306,306
305,304
313,304
305,306
306,306
310,308
310,304
311,309
311,309
310,308
309,307
308,306
311,305
306,304
312,306
312,306
311,306
308,309
320,316
310,307
309,305
305,306
304,308
307,308
309,303
312,308
306,308
307,306
305,308
307,306
308,307
306,304
306,306
310,306
309,306
308,303
306,307
305,305
309,306
310,306
314,307
309,303
311,305
308,306
307,305
308,306
309,307
308,307
307,307
306,304
305,307
306,306
308,301
306,305
315,308
308,307
307,306
309,307
307,306
309,307
311,310
308,308
309,307
310,308
308,306
308,308
310,311
306,305
307,306
307,306
309,308
309,304
310,308
309,309
310,307
306,307
312,308
310,306
310,307
308,308
309,303
310,305
313,308
309,310
309,307
307,306
308,307
308,305
305,311
305,308
308,306
308,306
310,304
304,305
308,306
304,310
311,310
307,307
307,303
307,310
310,309
313,304
309,303
312,314
311,307
305,304
318,312
309,306
307,306
307,303
312,304
310,307
310,310
305,308
306,304
305,306
307,307
309,307
307,305
312,307
309,310
308,306
308,309
306,306
307,307
310,308
306,308
313,306
309,307
307,304
307,306
308,306
309,307
306,304
315,311
308,308
309,307
311,306
307,307
306,305
307,311
307,307
308,305
306,307
312,304
307,307
308,305
309,306
308,306
306,307
311,307
308,302
310,307
307,303
304,306
309,307
305,307
310,310
312,309
303,306
307,307
307,306
308,306
313,307
310,307
310,306
312,308
308,303
306,309
308,308
311,306
308,305
306,304
309,309
309,306
311,305
310,304
309,310
306,302
307,307
308,307
309,305
307,305
311,309
308,307
310,306
308,310
312,306
307,306
309,306
306,308
308,309
310,305
310,308
309,308
308,305
311,309
308,308
311,304
310,305
307,307
307,308
308,302
307,306
311,307
307,311
308,307
309,308
310,308
310,308
311,304
312,308
308,306
308,303
311,303
309,303
310,304
306,307
310,306
310,308
307,306
308,307
314,311
306,308
307,311
309,306
310,307
308,305
309,306
317,308
306,303
313,313
308,306
309,308
306,305
308,305
309,307
310,304
307,304
307,307
312,306
305,302
307,306
311,305
311,306
310,304
310,305
308,308
309,307
309,308
310,306
307,310
307,304
307,306
306,307
311,310
309,304
307,309
311,302
310,307
307,306
308,307
307,304
308,307
311,302
309,310
309,305
313,309
308,308
309,307
309,308
309,307
309,309
306,306
309,306
312,305
306,305
313,306
308,303
308,306
308,310
308,302
308,309
307,308
309,307
307,305
310,307
306,307
309,306
312,305
306,307
310,308
307,307
310,307
307,309
305,304
308,304
308,306
308,305
308,306
307,303
309,306
309,304
308,308
312,308
308,304
306,305
311,310
309,302
313,310
306,307
310,306
310,306
310,307
307,306
310,309
308,307
322,308
310,309
313,310
307,306
311,306
310,306
307,307
307,306
317,311
310,306
309,305
314,307
311,306
316,310
311,307
308,308
308,307
309,307
309,306
307,305
310,306
306,306
309,309
308,308
306,306
307,309
304,306
304,305
310,307
307,308
308,305
309,309
310,307
312,310
309,301
311,307
310,307
309,305
310,313
311,308
310,309
309,308
308,308
308,307
306,308
309,306
307,306
308,306
310,304
311,306
313,312
308,310
306,305
308,307
310,304
311,307
309,306
305,302
311,307
310,309
321,308
310,309
310,306
309,306
314,311
310,307
308,308
306,306
308,307
310,309
309,310
311,310
313,309
312,312
306,305
309,305
308,306
308,307
307,309
307,307
310,306
311,305
311,306
305,306
314,311
313,309
304,310
310,306
307,308
315,304
317,311
308,306
307,304
311,306
312,307
309,302
310,308
307,308
309,309
313,309
306,305
308,305
309,305
309,308
309,309
307,304
311,307
312,311
308,308
308,305
305,303
311,306
309,306
308,306
311,307
304,304
309,305
308,308
313,307
313,307
310,308
308,307
306,304
310,304
311,309
313,303
310,303
306,307
315,307
308,307
311,308
306,305
310,309
310,306
310,304
307,304
312,308
321,315
307,304
312,305
310,308
309,306
310,310
305,309
305,308
306,305
310,306
310,306
311,308
309,306
308,305
308,303
314,307
307,307
311,308
308,309
309,306
309,306
307,311
305,308
307,307
306,307
306,307
306,305
310,305
309,305
307,305
308,308
315,309
309,308
307,305
310,303
308,307
308,305
307,306
