"BL1-A","RL1-A"
338,471
310,689
549,371
491,318
502,312
417,507
410,365
317,740
425,304
551,571
452,317
486,316
479,309
508,310
398,338
573,327
510,319
477,319
473,315
473,316
402,315
331,758
351,310
435,314
470,626
308,324
496,334
536,324
455,332
432,362
592,318
580,313
416,385
445,639
443,310
458,320
384,329
409,623
519,330
498,317
549,338
500,342
419,302
393,656
434,699
508,314
438,314
527,656
311,730
382,312
426,336
480,317
459,327
492,320
545,308
539,322
366,337
470,364
478,308
473,316
435,310
537,322
502,318
478,311
459,335
479,315
550,335
304,691
565,312
390,317
420,315
547,311
383,305
650,310
494,317
418,313
394,330
423,341
559,343
432,306
515,322
530,314
415,322
432,315
382,310
484,324
439,325
446,347
559,324
582,396
391,319
513,338
424,660
565,324
611,312
456,309
574,312
526,340
304,633
340,748
444,310
468,309
391,315
388,307
523,330
373,305
490,333
522,331
480,326
498,321
432,644
456,622
436,309
458,305
306,646
455,484
429,336
550,320
448,315
428,313
573,311
435,343
403,307
451,309
563,333
305,697
467,313
449,315
493,317
458,308
548,320
443,313
541,768
486,710
470,312
327,670
384,397
514,353
510,338
368,763
582,381
480,316
483,312
551,319
469,329
718,665
507,328
482,333
501,363
432,330
468,329
406,315
435,308
432,309
333,334
441,308
479,340
482,321
476,341
338,308
483,358
546,321
376,364
446,308
406,311
498,315
312,674
404,331
519,334
471,680
481,314
514,320
533,329
555,312
523,346
386,318
511,349
495,318
309,317
589,316
436,520
308,748
488,322
460,317
303,679
404,321
421,587
400,311
352,322
313,361
341,312
476,325
483,324
521,648
428,315
311,317
572,361
503,316
531,322
367,348
525,458
552,325
491,344
435,305
493,347
480,320
469,319
520,316
494,313
360,366
542,329
451,314
465,321
566,315
525,320
307,728
424,480
513,306
313,651
508,357
510,308
495,415
431,322
438,342
438,502
433,691
522,427
460,693
484,338
401,350
484,387
402,318
481,483
589,435
451,304
302,710
522,325
584,304
410,317
520,308
408,322
560,323
455,313
440,325
311,712
508,313
492,346
473,683
432,326
481,316
419,305
320,667
427,346
419,708
559,319
433,309
385,328
528,344
473,324
451,317
456,319
457,403
307,663
441,315
479,333
440,319
480,483
422,318
