"BL1-A","RL1-A"
454,710
630,749
588,730
678,777
628,712
637,704
588,740
709,742
586,687
651,730
764,619
654,698
557,683
620,709
560,668
476,684
679,737
656,601
582,718
566,716
612,678
603,738
537,700
643,745
530,636
524,641
627,692
567,673
292,704
551,746
661,764
597,748
707,736
591,572
534,674
674,692
654,747
406,732
646,752
572,689
630,715
529,637
499,574
585,669
560,711
580,739
425,748
616,697
440,666
556,652
657,647
606,683
562,621
620,726
555,716
447,630
547,760
628,702
308,756
661,723
702,732
567,577
568,692
687,680
750,621
643,689
555,648
560,707
638,695
304,619
556,708
624,723
556,650
517,597
653,705
676,724
615,696
628,704
570,683
299,696
675,733
603,662
559,695
627,708
325,686
578,629
545,657
424,719
571,703
569,740
619,737
613,722
683,725
658,711
656,691
590,661
554,705
571,733
661,736
556,683
624,706
628,645
583,665
617,662
641,726
529,684
677,679
651,724
517,684
612,708
555,722
298,633
571,719
731,699
448,614
526,746
617,700
719,723
553,673
387,645
606,727
599,690
610,748
663,720
431,598
762,738
628,699
643,668
627,647
602,671
672,722
629,668
559,670
569,691
543,673
511,657
446,690
620,657
322,649
560,649
648,660
600,738
600,678
527,630
502,669
598,643
666,693
643,776
659,686
604,656
575,741
651,735
579,692
617,683
589,660
656,713
498,728
677,691
597,646
611,540
606,692
609,683
647,727
606,728
600,736
626,709
609,710
441,704
478,617
694,713
530,608
709,723
541,734
638,691
633,585
647,754
702,789
592,697
483,615
591,721
658,694
302,750
509,641
658,717
644,686
660,703
668,697
525,513
570,680
687,658
632,708
304,644
665,697
572,620
671,696
472,499
527,620
576,687
640,680
562,544
406,726
543,699
630,668
638,777
645,736
679,777
492,658
603,767
639,690
546,686
636,647
491,676
647,746
473,700
635,618
675,606
303,711
435,723
608,663
412,782
611,685
620,719
648,753
487,709
605,571
597,627
653,655
587,737
658,753
518,704
558,663
646,760
702,740
613,724
660,740
622,724
633,774
593,696
635,707
328,701
615,691
715,719
677,729
719,680
606,745
717,723
623,730
692,664
417,704
304,716
633,733
577,701
306,748
652,687
628,677
568,648
482,634
682,662
602,709
528,688
669,674
621,717
329,731
306,715
321,574
589,715
651,627
611,701
360,713
657,642
594,688
551,719
359,729
660,729
577,722
631,676
614,634
597,761
640,740
535,728
512,728
656,653
695,757
524,615
464,431
539,711
470,700
435,632
320,643
660,718
670,707
481,574
554,584
690,742
574,650
558,718
746,658
581,741
648,702
301,698
698,728
597,717
588,695
616,670
694,642
582,650
523,662
594,634
586,723
581,732
583,673
598,763
568,685
582,676
590,709
622,716
561,703
531,655
699,716
637,699
630,785
575,668
584,696
578,686
616,727
616,673
507,712
530,726
550,660
691,665
621,699
563,691
619,701
584,714
576,734
518,603
525,743
589,645
553,640
644,692
696,706
618,717
514,662
636,676
480,645
524,750
622,598
585,719
679,733
381,682
305,694
523,719
522,687
597,683
627,721
707,770
622,655
750,737
584,678
623,753
549,694
647,717
572,710
530,763
556,684
631,713
701,659
548,685
617,699
625,682
572,639
684,686
575,654
493,662
504,677
594,720
307,611
549,683
768,742
540,638
347,752
615,676
344,621
595,737
614,713
562,723
527,733
653,574
616,721
566,705
571,635
550,712
583,677
554,661
569,719
518,720
630,656
606,754
596,681
547,670
341,520
662,685
688,726
579,715
700,696
604,753
615,696
616,719
596,707
605,716
349,737
671,700
633,689
536,743
587,659
311,677
614,698
570,638
643,722
633,663
612,710
622,638
485,684
528,727
598,681
633,736
592,675
655,729
679,763
651,676
504,706
751,727
596,682
633,645
662,715
636,630
595,706
696,637
604,671
611,625
605,683
684,705
526,661
653,649
651,740
537,717
588,550
632,689
643,750
692,747
390,779
321,588
471,636
579,668
611,608
649,705
621,708
677,722
564,749
505,621
656,739
620,739
645,697
603,661
588,643
600,724
319,708
587,670
632,697
680,702
654,739
527,728
648,669
639,714
548,651
542,681
592,729
383,701
614,738
314,683
628,745
582,664
589,668
661,680
560,688
530,681
574,688
636,743
548,579
614,735
688,715
568,631
681,713
628,731
570,667
635,714
527,652
465,553
657,749
658,718
440,611
498,707
676,750
630,751
520,721
614,709
604,637
629,732
594,742
687,746
668,737
608,743
602,745
515,643
507,712
615,739
650,652
749,634
318,769
671,754
726,711
668,733
637,753
511,695
618,738
527,682
666,699
593,749
720,690
722,610
658,771
367,710
658,692
560,654
475,659
653,701
516,700
592,687
668,678
564,680
639,740
665,765
677,726
310,629
503,704
578,674
711,666
669,684
611,710
593,547
309,677
583,704
568,685
637,736
592,692
559,721
712,768
528,686
644,637
550,693
630,706
650,746
544,697
674,721
547,731
355,740
504,632
649,752
623,670
608,750
568,690
444,718
569,739
597,634
304,309
614,707
528,566
305,623
385,668
619,675
586,701
608,715
593,710
708,690
562,612
572,706
392,746
514,744
671,710
576,688
653,673
357,726
511,715
547,687
541,668
575,731
493,654
618,706
527,738
646,656
559,717
631,685
679,702
507,669
381,765
613,739
667,694
637,726
624,590
591,666
646,707
316,693
636,587
372,696
699,646
349,747
623,707
638,738
300,663
488,466
601,673
605,689
594,696
603,725
465,687
689,680
850,685
678,691
674,744
667,704
704,621
771,768
640,671
487,677
748,641
594,729
558,702
628,726
670,673
593,659
425,583
701,656
454,543
651,745
652,714
684,687
554,645
554,629
446,584
689,724
637,728
523,727
516,684
642,709
628,735
653,461
611,732
540,729
557,636
655,741
621,684
643,722
614,575
557,627
597,716
631,723
585,721
592,668
564,687
533,657
563,693
523,734
397,702
554,609
583,590
622,713
637,583
491,600
714,760
308,715
581,724
634,729
685,734
590,745
663,772
583,635
686,666
643,731
680,738
610,716
674,704
603,627
592,637
634,722
650,717
553,677
544,748
564,727
629,730
618,721
435,658
644,642
440,760
646,741
637,742
638,706
635,721
662,729
570,662
589,733
726,708
545,659
688,678
654,692
589,666
627,682
485,619
578,560
554,702
553,720
630,679
710,700
585,762
594,700
517,668
557,666
620,732
560,619
562,734
587,716
604,662
616,678
431,294
313,424
310,724
519,715
744,746
485,632
581,685
608,750
673,696
586,714
672,612
528,700
681,668
576,728
525,715
433,765
690,686
593,749
549,664
747,680
536,677
610,743
644,682
649,696
684,705
524,689
591,636
539,743
523,555
611,735
632,658
528,713
629,680
479,635
564,594
531,649
691,683
516,718
533,653
307,647
667,676
571,680
663,681
576,680
717,715
605,671
659,681
606,669
700,657
357,601
391,687
589,733
603,684
670,671
301,690
561,723
708,731
339,715
563,681
573,697
585,648
640,748
556,629
671,663
510,697
673,719
532,711
617,759
644,747
302,753
544,679
748,742
350,754
644,760
596,667
610,631
606,722
502,687
655,685
697,737
627,738
722,710
574,549
600,703
644,778
559,708
592,672
572,702
308,727
565,775
497,706
361,698
552,673
615,728
593,621
573,689
540,714
633,692
477,703
592,656
665,765
414,634
683,720
596,672
699,716
546,745
645,681
592,702
546,661
600,734
663,683
653,705
664,751
535,674
595,736
614,785
741,697
598,689
314,640
545,628
617,611
724,715
481,604
617,729
607,695
529,692
375,702
697,736
652,700
563,674
455,585
661,623
510,684
621,758
580,698
664,713
650,678
626,690
381,695
683,800
575,614
596,716
707,726
705,735
307,556
613,701
633,695
638,724
543,698
618,716
659,659
703,608
617,751
452,699
726,650
628,676
618,658
456,680
437,621
820,678
654,753
695,776
305,667
395,613
474,606
645,745
671,749
607,677
585,649
305,660
598,749
688,705
576,687
649,707
588,712
622,753
661,542
643,713
594,703
603,727
642,670
609,715
525,672
678,739
500,664
620,725
576,710
566,694
580,685
609,658
476,684
640,730
659,692
587,783
521,641
661,779
606,703
678,730
666,696
300,755
615,692
616,734
666,585
608,739
530,570
640,676
457,636
652,677
616,692
513,679
698,713
618,735
640,653
552,703
655,736
532,635
691,729
534,671
437,720
703,735
683,740
606,695
521,659
574,660
608,679
594,706
471,721
692,746
540,651
636,706
665,731
537,684
675,644
462,698
569,618
721,634
332,705
688,744
485,645
735,570
549,667
643,699
619,728
651,765
654,735
438,647
468,694
603,678
668,755
600,634
601,689
600,681
659,715
575,712
663,732
303,686
628,719
514,293
602,680
502,665
393,678
645,761
604,737
760,617
654,638
649,767
588,658
623,772
575,652
627,735
555,693
627,679
451,585
594,715
618,718
682,740
624,668
602,681
602,678
628,686
443,671
621,642
555,653
548,580
644,732
669,751
492,719
594,708
588,639
607,646
712,765
306,680
297,710
696,764
596,680
616,691
599,690
674,772
507,699
715,710
631,717
542,692
323,720
371,690
645,664
618,643
488,722
307,699
499,725
651,620
609,647
567,670
640,650
678,675
621,641
617,690
626,670
545,720
628,688
571,590
488,690
692,648
581,736
547,635
297,574
596,691
692,637
614,736
613,786
564,739
609,749
625,717
590,693
497,702
491,635
583,675
320,705
676,609
625,715
592,660
574,750
647,718
674,574
644,690
617,664
378,672
664,579
599,654
611,708
534,675
589,667
733,568
803,601
653,739
662,739
724,759
690,536
627,640
546,584
627,650
601,709
614,678
554,677
633,703
603,714
594,680
744,701
690,713
729,641
630,661
585,664
474,633
590,737
595,623
627,661
480,675
550,730
586,680
477,710
597,702
614,694
607,676
628,715
434,723
567,672
544,686
618,711
631,706
318,719
590,719
587,730
530,453
301,666
496,583
669,557
562,683
709,590
682,736
551,667
612,721
722,701
659,695
681,740
647,651
608,722
542,645
306,750
532,660
684,715
590,728
543,656
315,690
664,621
462,718
581,685
406,694
521,722
520,710
482,742
677,707
462,704
622,705
626,758
690,680
594,651
562,742
744,735
296,734
688,691
670,616
478,703
609,704
628,717
524,677
613,710
706,694
676,759
536,695
586,656
629,746
665,654
689,703
336,694
527,724
577,653
737,664
516,722
645,681
480,594
655,633
574,705
593,712
567,685
628,690
788,696
538,740
470,631
577,698
312,736
609,769
445,797
570,577
536,733
595,758
741,742
645,711
525,581
591,687
538,742
585,637
664,711
553,676
504,759
540,670
665,739
438,589
657,743
569,704
353,727
712,645
609,743
644,783
700,692
481,704
624,589
694,756
720,679
659,632
662,682
580,675
693,755
628,683
577,665
614,712
622,691
561,725
633,703
506,632
452,652
534,555
639,655
747,668
316,712
690,718
307,721
628,679
454,614
677,673
551,644
594,652
633,661
606,701
639,669
597,693
577,675
593,753
536,716
594,775
638,686
595,695
675,716
305,686
596,710
628,747
582,721
614,612
579,723
635,737
689,736
722,758
325,689
615,743
680,675
710,618
590,743
687,686
705,638
591,689
496,783
598,701
641,678
593,722
617,676
719,818
576,686
316,603
665,723
599,692
648,638
481,671
529,594
566,754
618,667
660,753
588,653
745,666
589,691
684,726
586,713
684,735
297,722
463,620
706,716
400,711
545,683
650,700
570,612
590,674
723,690
559,749
585,697
674,681
590,718
615,638
581,693
525,700
342,680
641,735
581,707
605,689
670,724
583,724
614,735
288,726
558,689
661,738
561,744
589,698
552,695
531,667
595,721
682,653
528,739
634,687
535,685
584,730
614,747
616,730
559,737
543,691
662,594
501,706
659,718
558,740
588,726
630,744
566,671
636,706
535,672
730,783
386,727
753,708
651,678
679,775
640,752
620,731
561,673
669,717
543,669
728,700
655,662
602,747
645,647
638,721
601,699
578,662
580,665
621,720
703,686
634,739
592,664
536,668
610,706
573,707
768,623
611,669
559,657
332,740
500,700
638,695
399,732
534,657
673,729
637,774
651,744
678,706
666,735
457,767
582,745
591,736
602,715
552,675
562,660
607,741
640,749
631,751
598,646
637,764
706,691
536,663
604,630
722,683
629,699
644,659
630,747
620,760
468,730
692,719
554,687
574,718
599,664
651,683
627,752
631,691
633,733
670,696
711,727
445,641
594,753
588,674
605,598
632,678
600,739
584,699
601,751
626,669
670,641
674,715
669,692
654,628
592,668
619,739
601,738
596,696
647,648
335,688
371,691
421,715
749,695
669,731
546,692
642,617
602,724
502,726
681,732
540,670
564,695
546,696
593,610
700,758
613,679
689,720
468,706
720,749
693,767
502,688
619,756
733,608
394,661
587,701
662,771
551,715
542,646
710,687
644,695
612,760
541,716
639,730
619,689
433,724
600,739
711,793
657,662
634,721
619,636
628,641
561,578
566,729
587,698
704,599
640,730
649,640
601,706
659,745
299,736
628,659
631,727
618,699
629,745
563,749
710,666
298,728
451,672
661,694
714,696
736,759
458,634
601,727
635,721
631,733
581,695
620,730
662,718
621,660
662,676
649,674
602,707
603,740
606,649
605,671
729,674
644,714
661,744
666,694
646,735
628,651
580,712
571,667
591,724
568,671
683,661
654,625
549,750
732,728
580,690
742,681
661,648
525,698
582,617
613,742
674,732
678,683
603,722
642,748
559,697
306,716
562,757
322,677
476,625
582,557
306,718
435,690
637,679
607,736
638,735
557,658
663,697
596,734
623,740
764,738
512,682
680,589
674,801
569,632
654,666
634,679
632,659
546,680
520,715
534,645
572,713
578,655
622,712
593,714
656,712
682,648
551,743
669,708
636,722
601,690
654,684
304,664
630,693
602,641
613,752
524,701
606,757
539,693
635,708
575,673
306,748
604,581
600,723
555,711
650,660
474,674
443,749
641,681
297,748
480,676
529,695
507,707
511,689
701,782
355,695
548,586
578,676
564,681
655,701
476,664
611,680
623,671
641,756
740,705
631,712
692,731
655,762
651,716
366,502
574,681
596,637
640,614
603,726
595,731
538,595
567,649
587,704
430,622
670,769
630,727
634,760
631,705
656,660
570,728
625,675
296,729
614,673
525,731
672,650
444,355
570,741
575,701
675,718
368,616
636,669
436,709
639,720
338,694
607,692
627,729
638,732
597,703
545,664
542,753
444,603
585,733
585,717
570,627
642,693
673,649
638,709
724,692
524,722
639,725
640,750
654,635
534,628
557,705
600,707
631,730
642,662
698,665
599,755
620,733
592,718
643,662
635,701
597,723
550,715
617,704
574,664
610,709
646,703
581,696
641,701
528,634
554,717
683,758
566,769
483,608
708,772
553,676
552,691
673,746
616,705
687,771
644,657
731,734
616,686
615,718
570,600
528,679
573,661
547,702
486,746
664,779
561,698
439,708
593,741
686,779
609,639
583,741
332,670
506,737
525,626
509,696
583,690
693,788
734,596
637,788
668,672
545,666
500,714
668,707
629,670
501,689
550,692
638,708
600,711
623,595
616,741
648,701
604,749
555,699
660,779
554,654
541,623
566,741
606,617
576,652
669,697
701,710
590,674
547,686
650,517
558,725
645,748
672,635
429,747
524,621
620,672
604,758
651,683
664,752
566,678
515,670
525,721
564,696
687,719
506,617
588,678
699,669
549,691
603,690
488,622
458,650
598,685
614,694
307,715
544,699
649,753
561,611
667,766
673,617
302,656
598,718
641,720
586,708
556,628
633,688
319,310
608,651
567,616
654,684
734,744
730,727
620,690
632,713
583,674
423,706
637,727
699,748
305,778
618,679
600,511
602,676
463,678
437,714
657,730
696,633
356,639
615,715
572,724
646,741
572,687
629,651
544,716
550,653
305,772
355,742
619,655
578,709
576,767
623,745
642,700
528,738
634,724
598,698
641,689
582,724
602,665
585,621
655,771
578,670
616,730
578,742
573,769
638,760
340,713
628,691
512,570
699,736
639,665
637,736
634,691
534,761
623,756
667,752
510,638
682,736
657,719
556,705
603,669
704,735
579,677
567,747
619,674
697,653
681,728
667,621
573,671
540,720
622,687
637,591
632,740
763,734
588,694
603,686
534,663
626,734
563,673
535,707
632,721
628,732
636,755
550,621
618,725
536,722
359,587
639,684
544,654
576,747
642,680
674,759
679,609
603,664
535,680
689,750
652,723
565,760
615,671
591,678
763,701
620,662
603,721
508,656
304,672
613,691
522,681
544,724
506,702
363,698
554,678
609,727
635,701
736,724
563,719
652,701
659,691
609,738
505,704
554,714
682,790
492,669
505,663
536,732
571,650
577,669
439,690
473,696
540,731
615,686
522,643
630,749
324,697
640,722
659,755
666,765
641,595
636,704
673,726
585,663
575,790
501,732
613,690
514,679
595,656
596,712
637,700
573,580
625,715
584,655
659,673
384,715
580,668
594,703
570,694
641,707
522,708
589,716
545,709
410,702
298,663
584,708
562,629
468,664
563,718
546,642
622,689
594,641
519,697
602,724
677,719
451,668
528,709
621,791
645,761
555,680
661,729
579,722
406,703
664,708
633,685
523,705
742,684
704,700
488,712
660,726
733,748
657,672
623,687
661,654
670,734
355,719
618,687
540,660
569,715
656,648
562,699
610,682
556,709
607,741
598,695
617,715
733,779
617,730
566,558
657,731
549,620
653,700
514,651
302,751
541,720
425,673
656,708
644,587
445,515
636,689
668,707
624,733
685,714
655,696
549,642
616,688
578,729
584,637
637,718
592,711
589,718
603,723
625,710
568,683
568,620
582,757
641,529
668,744
445,657
608,689
631,666
732,672
539,617
628,639
740,698
638,705
647,758
570,668
682,636
566,626
499,619
683,649
649,730
655,587
633,696
603,691
401,762
547,590
649,659
671,740
722,697
329,414
505,676
306,735
613,742
517,723
545,764
513,631
712,692
539,725
571,641
653,668
665,739
616,719
681,709
641,734
655,762
617,748
626,592
654,684
317,662
734,730
661,640
601,687
593,746
559,710
450,691
582,698
593,638
706,761
550,690
626,632
605,749
510,643
602,748
571,748
569,631
577,654
563,704
527,699
583,641
586,601
637,722
581,712
675,773
666,695
596,508
677,771
516,759
298,698
420,672
704,735
608,650
588,706
752,621
672,776
567,714
622,716
716,748
549,662
701,648
654,717
653,755
605,686
573,723
549,677
621,771
561,691
594,696
647,675
613,580
682,717
519,670
437,706
652,723
625,651
573,683
552,660
672,699
635,716
627,786
620,663
348,712
598,741
659,730
544,701
559,657
618,739
634,730
632,696
499,662
511,654
594,698
644,699
544,709
499,647
662,713
585,673
415,536
697,660
484,652
609,691
500,711
672,728
647,732
650,692
559,750
654,738
700,735
652,773
589,754
531,681
600,681
509,661
713,703
574,682
695,610
695,703
697,671
688,634
739,698
594,747
683,784
375,587
633,712
389,701
669,560
691,751
611,718
426,672
685,641
558,583
633,695
715,652
541,636
514,693
629,748
683,674
498,697
605,701
620,720
527,683
676,656
730,752
511,695
666,730
563,723
602,659
714,784
563,627
632,661
565,597
584,705
580,688
602,673
591,709
636,722
606,724
565,663
615,716
569,613
600,743
611,608
629,643
519,694
666,676
503,668
524,724
377,717
587,672
601,664
349,696
728,754
591,601
636,641
639,604
617,746
559,625
413,611
623,700
419,678
591,557
617,727
653,712
587,650
493,605
501,634
553,687
676,689
671,723
564,680
585,686
580,725
656,726
502,621
624,642
440,735
605,746
655,648
656,755
309,702
529,693
537,691
607,662
636,708
646,713
579,678
643,704
308,665
653,713
691,720
632,719
677,774
506,692
547,746
637,696
507,602
484,682
539,624
521,664
522,684
649,713
551,671
572,633
665,781
686,706
650,647
644,640
411,648
574,748
642,683
336,733
611,625
605,706
585,631
602,706
446,646
573,632
533,627
573,671
361,649
489,727
605,673
568,711
527,723
367,715
685,680
532,757
566,700
301,727
698,692
724,682
623,743
583,714
632,708
609,748
615,676
588,742
549,763
575,692
647,722
612,728
523,698
593,711
638,697
598,740
596,705
440,684
715,689
776,721
565,612
625,683
627,648
663,676
558,679
491,587
631,733
630,743
584,648
494,736
707,698
661,746
635,691
623,665
579,740
506,681
558,645
519,626
601,715
716,727
728,699
561,686
636,691
676,739
705,655
646,702
550,712
675,697
646,701
559,687
579,672
629,758
552,699
560,713
623,592
669,669
589,685
596,750
656,702
699,729
361,555
639,739
380,746
627,678
554,700
475,627
303,733
618,731
537,726
669,698
541,770
562,645
644,744
530,714
638,741
586,773
644,602
668,711
719,687
580,709
600,712
562,636
616,667
491,628
584,666
363,649
466,667
721,659
520,646
596,298
647,683
564,652
521,662
594,684
665,665
598,774
596,738
590,695
514,687
566,713
655,592
606,720
683,737
608,725
660,678
610,662
578,766
558,682
524,779
548,702
658,721
611,675
663,726
700,623
603,613
604,735
380,726
736,719
638,751
510,718
615,719
313,558
332,615
620,797
546,774
527,652
466,738
648,710
638,707
306,721
308,739
527,717
603,706
711,724
600,697
613,701
621,784
432,754
552,734
655,705
616,733
310,695
590,707
553,715
615,727
473,574
630,752
629,695
690,636
552,697
310,748
652,760
619,722
616,674
425,708
596,674
670,694
643,713
570,642
533,719
612,648
643,693
595,721
356,687
625,674
692,629
611,751
626,752
561,710
449,704
551,744
653,624
640,588
630,704
544,721
781,599
512,581
596,684
658,372
618,642
706,669
611,725
500,618
630,686
545,691
576,700
623,705
566,649
566,719
636,731
462,746
628,685
556,636
700,730
608,780
621,651
622,685
582,693
638,772
605,704
572,650
295,677
632,632
655,583
709,735
610,706
657,688
629,717
559,620
680,712
754,716
568,690
654,728
725,717
622,708
615,740
678,701
709,708
635,674
634,761
544,715
530,680
573,701
611,669
676,699
558,663
593,680
562,645
630,665
729,699
663,600
453,679
562,655
609,657
406,647
736,757
336,680
649,726
318,769
616,725
662,680
585,655
682,749
476,651
741,731
565,714
722,658
637,733
567,644
466,644
624,706
653,658
558,625
655,627
664,662
711,669
582,706
599,716
627,761
657,677
654,690
528,664
557,648
662,729
687,668
301,688
633,561
590,722
591,746
657,627
306,598
663,657
602,730
478,735
633,722
566,663
615,734
648,737
630,707
618,583
578,638
580,638
611,711
600,668
568,693
602,725
614,634
631,690
463,644
580,719
626,725
423,642
732,679
652,776
301,715
692,679
620,693
662,712
606,692
550,644
459,541
418,518
622,699
604,379
618,730
648,658
520,726
678,687
633,684
616,671
607,735
698,666
658,757
605,708
512,657
453,647
296,730
562,701
652,601
634,711
653,713
603,642
544,705
579,631
624,625
443,685
618,625
753,708
495,608
664,723
694,727
655,776
523,691
567,703
612,727
622,719
757,766
682,709
681,670
582,748
529,593
621,687
614,764
618,651
605,741
563,735
554,760
673,731
611,724
584,571
674,657
605,704
559,665
537,738
648,614
633,686
602,693
618,717
531,721
719,684
657,646
565,666
532,718
623,758
703,635
381,715
688,690
734,708
556,726
619,760
626,687
590,658
626,681
341,685
465,592
654,724
490,650
445,542
558,693
633,648
608,639
738,693
625,748
590,701
569,743
657,687
654,685
590,723
295,750
442,616
620,678
602,714
629,673
582,664
668,629
304,740
639,672
633,730
366,724
587,695
315,678
558,665
624,665
628,694
583,647
614,701
641,686
630,584
618,720
636,746
633,753
676,639
604,741
568,668
598,686
610,740
706,646
440,646
693,754
540,748
300,660
601,716
522,661
582,695
580,603
632,714
349,694
447,696
554,681
399,690
507,558
565,668
696,629
497,661
484,595
652,593
638,688
599,665
545,691
629,696
718,687
535,718
589,720
535,732
585,696
304,608
620,650
610,622
671,704
625,674
599,707
557,599
303,649
502,682
576,526
651,704
490,674
632,669
534,691
301,686
453,729
462,705
677,462
710,720
661,697
570,726
439,738
635,515
642,733
732,680
603,715
450,692
595,671
607,679
548,688
632,692
487,724
677,727
642,769
574,706
627,750
606,711
301,696
584,701
356,679
471,662
589,711
599,619
493,688
575,620
687,679
592,694
634,742
370,704
606,693
563,709
473,710
583,629
542,550
658,703
581,604
652,756
604,697
600,698
404,733
613,740
590,660
514,642
598,678
825,298
603,577
587,722
650,677
564,703
627,657
611,754
661,769
452,446
643,603
634,756
547,638
306,617
591,707
313,715
657,721
651,626
525,693
655,697
646,677
636,701
551,702
559,684
420,573
316,661
386,783
431,702
575,730
596,629
652,720
571,623
702,692
599,694
444,706
638,640
614,730
620,674
571,706
599,700
572,681
586,716
592,658
648,767
635,709
671,679
668,682
526,620
630,698
671,737
647,710
648,595
597,710
495,297
554,648
771,671
460,686
678,664
611,712
719,752
716,697
557,760
707,774
729,750
656,707
770,782
305,740
584,713
612,535
616,610
583,647
624,691
562,704
657,745
642,694
533,685
438,754
630,681
575,669
386,644
677,751
537,730
630,705
583,691
518,633
628,694
602,634
649,743
631,699
539,692
712,719
387,718
594,753
506,651
611,741
659,729
525,635
632,664
681,730
597,678
713,635
552,697
308,700
632,698
657,689
682,721
586,710
695,686
629,750
650,709
388,694
627,721
506,740
603,734
511,720
598,612
561,695
628,623
692,735
571,752
715,785
683,723
522,718
568,691
586,711
572,747
304,710
656,697
572,619
606,661
622,743
582,686
628,729
666,677
626,638
586,702
587,720
660,758
525,688
577,730
382,580
590,647
656,706
662,741
707,697
612,749
627,697
384,687
664,736
666,728
572,684
572,724
498,694
627,700
378,662
319,702
599,692
648,631
652,664
604,718
555,693
737,491
635,727
543,615
406,676
754,775
661,676
743,664
339,737
556,693
631,717
640,742
541,689
592,684
434,633
618,745
727,601
302,521
624,712
572,684
619,741
752,653
698,718
732,744
568,735
620,762
575,751
636,734
403,641
