well	row	col	tcId	treatment	poolId	bcdId	sgId	gene	groupId
NA	NA	NA	U2OS	normal	1	1	CD146	CD146	CD146_U2OS
NA	NA	NA	U2OS	normal	1	2	CENPE	CENPE	CENPE_U2OS
NA	NA	NA	U2OS	normal	1	3	INCENP	INCENP	INCENP_U2OS
NA	NA	NA	U2OS	normal	1	4	PLK4	PLK4	PLK4_U2OS
NA	NA	NA	U2OS	normal	1	5	AURKB	AURKB	AURKB_U2OS
NA	NA	NA	U2OS	normal	1	6	BUB3	BUB3	BUB3_U2OS
NA	NA	NA	U2OS	normal	1	7	CDC20	CDC20	CDC20_U2OS
NA	NA	NA	U2OS	normal	1	8	KIF23	KIF23	KIF23_U2OS
NA	NA	NA	U2OS	normal	1	9	ANAPC5	ANAPC5	ANAPC5_U2OS
NA	NA	NA	U2OS	normal	1	10	ESPL1	ESPL1	ESPL1_U2OS
NA	NA	NA	U2OS_dCas9-KRAB	normal	1	1	CD146	CD146	CD146_U2OS_dCas9-KRAB
NA	NA	NA	U2OS_dCas9-KRAB	normal	1	2	CENPE	CENPE	CENPE_U2OS_dCas9-KRAB
NA	NA	NA	U2OS_dCas9-KRAB	normal	1	3	INCENP	INCENP	INCENP_U2OS_dCas9-KRAB
NA	NA	NA	U2OS_dCas9-KRAB	normal	1	4	PLK4	PLK4	PLK4_U2OS_dCas9-KRAB
NA	NA	NA	U2OS_dCas9-KRAB	normal	1	5	AURKB	AURKB	AURKB_U2OS_dCas9-KRAB
NA	NA	NA	U2OS_dCas9-KRAB	normal	1	6	BUB3	BUB3	BUB3_U2OS_dCas9-KRAB
NA	NA	NA	U2OS_dCas9-KRAB	normal	1	7	CDC20	CDC20	CDC20_U2OS_dCas9-KRAB
NA	NA	NA	U2OS_dCas9-KRAB	normal	1	8	KIF23	KIF23	KIF23_U2OS_dCas9-KRAB
NA	NA	NA	U2OS_dCas9-KRAB	normal	1	9	ANAPC5	ANAPC5	ANAPC5_U2OS_dCas9-KRAB
NA	NA	NA	U2OS_dCas9-KRAB	normal	1	10	ESPL1	ESPL1	ESPL1_U2OS_dCas9-KRAB
NA	NA	NA	U2OS	normal	1	None	None	None	None_U2OS
NA	NA	NA	U2OS_dCas9-KRAB	normal	1	None	None	None	None_U2OS_dCas9-KRAB
