objId	EGFP	OLLAS	ALFA	FLAG	VSVG	bcd
B07n10	1864.26	149.96	5396.15	210.525	2419.8	FLAG_ALFA_VSVG
B07n5	1251.64	146.4	3566.15	201.8	1829.2	FLAG_ALFA_VSVG
B07n17	604.52	143.68	1481.45	188.6	882	FLAG_ALFA_VSVG
B07n18	674.24	155.18	1871.025	188.05	1005.8	FLAG_ALFA_VSVG
B07n13	4937.48	160.3	14960.15	366.45	8446	FLAG_ALFA_VSVG
B07n14	1921.65	144.72	2035.9	192.45	1406.3	FLAG_ALFA_VSVG
B07n20	1820.26	204.2	5368.525	201.725	4556.16	FLAG_ALFA_VSVG
B07n24	1493.92	148.09	3796.725	202.5	1738.1	FLAG_ALFA_VSVG
B07n27	1012.08	144.72	2618.85	195.95	1310.2	FLAG_ALFA_VSVG
B07n22	2184.94	188	4948.85	176.8	3273.78	FLAG_ALFA_VSVG
B07n29	176.32	158.26	381.03	192.57	613.8	FLAG_ALFA_VSVG
B07n30	2299.82	186	4945.225	178.325	3467.3	FLAG_ALFA_VSVG
B07n34	2188.91	175.4	5069.05	191.45	2609.24	FLAG_ALFA_VSVG
B07n35	1767.75	195.2	4229.525	170.5	2649.64	FLAG_ALFA_VSVG
B07n32	1177.48	176.8	2183.545	196.48	1743.2	FLAG_ALFA_VSVG
B07n31	1607.46	178.65	3348.49	202.82	2551.3	FLAG_ALFA_VSVG
B07n39	1281.52	156.82	3346.4	200.85	1706.5	FLAG_ALFA_VSVG
B07n40	2767.46	196.2	5477.55	202.6	3602.34	FLAG_ALFA_VSVG
B07n42	1026.96	174.34	1793.335	192.095	1397.8	FLAG_ALFA_VSVG
B07n43	2333.92	176.06	4051.79	215.61	2954.1	FLAG_ALFA_VSVG
B07n44	2877.16	170.21	5603.4	225.99	3729.8	FLAG_ALFA_VSVG
B07n45	1485.98	146.47	3348.25	200.95	1592.8	FLAG_ALFA_VSVG
B07n46	902.76	148.18	2082.45	193.25	1076	FLAG_ALFA_VSVG
B07n48	622.2	159.18	1670.2	191	886.6	FLAG_ALFA_VSVG
B07n50	736.04	145.92	1546.875	191.175	887.4	FLAG_ALFA_VSVG
B07n53	1593.18	145.19	3645.5	204.075	1649.8	FLAG_ALFA_VSVG
B07n54	790.52	143.58	1699.6	192.05	927.2	FLAG_ALFA_VSVG
B07n47	3133.32	173.94	6362.4	261.02	4793	FLAG_ALFA_VSVG
B07n51	3346.2	205	5393.85	204.725	3487.24	FLAG_ALFA_VSVG
B07n55	1278.2	196.2	2632.775	170.9	1535.2	FLAG_ALFA_VSVG
B07n56	1808.68	191	3708.875	172.9	2094.02	FLAG_ALFA_VSVG
B07n57	1683.58	148.78	3948.4	210.35	1721.6	FLAG_ALFA_VSVG
B07n58	6418.84	144.88	20329.7	344.475	9235	FLAG_ALFA_VSVG
B07n60	2753.74	145.74	3116.85	204.15	1900.8	FLAG_ALFA_VSVG
B07n59	1295.66	195	2347.875	175.575	1338.04	FLAG_ALFA_VSVG
B07n61	761.96	179.5	1409.205	195.845	1115.8	FLAG_ALFA_VSVG
B07n64	2868.68	203.8	8087.7	194.4	3740.66	FLAG_ALFA_VSVG
B07n65	1674.92	147.42	4014.05	206.475	1836.4	FLAG_ALFA_VSVG
B07n66	1873.12	185.5	4460.1	178.65	2334.76	FLAG_ALFA_VSVG
B07n68	1630.08	169.43	4042.75	212.175	2015.3	FLAG_ALFA_VSVG
B07n69	1282.56	144.76	2839.975	203.5	1736	FLAG_ALFA_VSVG
B07n70	6909.76	148.42	22578.725	363.625	9410	FLAG_ALFA_VSVG
B07n71	1272.78	181	2841.75	162.65	1762.58	FLAG_ALFA_VSVG
B07n73	1517.72	175.68	3101.69	206.63	2205.6	FLAG_ALFA_VSVG
B07n74	3366.28	185.2	7362.525	209.725	3952.8	FLAG_ALFA_VSVG
B07n77	1782.78	143.82	3892.9	215.25	1637.6	FLAG_ALFA_VSVG
B07n76	3021.66	183.4	6837.7	197.65	3515.9	FLAG_ALFA_VSVG
B07n75	2940.66	196.6	6370.85	192.2	2703.9	FLAG_ALFA_VSVG
B07n67	1938.24	185.17	4383.97	217.935	2884.5	FLAG_ALFA_VSVG
B07n78	3717.16	151.28	3352.825	207.1	2165	FLAG_ALFA_VSVG
B07n81	3344.64	158.16	8203.15	261.05	3872.6	FLAG_ALFA_VSVG
B07n80	1523	139.51	3188.15	206	1411.4	FLAG_ALFA_VSVG
B07n79	2171.08	180.2	5135	182	3292.88	FLAG_ALFA_VSVG
B07n82	2111.76	148.58	4197.25	221.8	2376.3	FLAG_ALFA_VSVG
B07n83	3377.53	199	7715.9	199.85	3451.84	FLAG_ALFA_VSVG
B07n85	2644.96	181.96	5508.26	239.91	3701.3	FLAG_ALFA_VSVG
B07n84	987.8	144.7	2022.525	198.8	1033.5	FLAG_ALFA_VSVG
B07n87	941.04	147.8	1960.85	200	1000.5	FLAG_ALFA_VSVG
B07n88	1371.74	181	2862.025	163.575	1692.5	FLAG_ALFA_VSVG
B07n90	1434.32	178.41	2322.62	197.335	1534.7	FLAG_ALFA_VSVG
B07n91	2150.36	152.62	4964.4	224.9	2250	FLAG_ALFA_VSVG
B07n89	1021.32	188.2	2598.8	167.2	1532.71	FLAG_ALFA_VSVG
B07n93	2496.56	172.78	5376.85	215.9	2212.5	FLAG_ALFA_VSVG
B07n94	851.32	177.95	1293.12	192.63	1041.6	FLAG_ALFA_VSVG
B07n95	2313.08	180.63	3421.87	210.51	2175.8	FLAG_ALFA_VSVG
B07n97	3214.32	165.28	9175.85	269.8	4017	FLAG_ALFA_VSVG
B07n96	1069.96	185	2455.4	161.15	1560.02	FLAG_ALFA_VSVG
B07n98	4637.92	179.88	10675.725	287.1	4787.2	FLAG_ALFA_VSVG
B07n99	2057.76	154.73	4997.85	218.65	2070	FLAG_ALFA_VSVG
B07n100	1200.58	178.11	1800.815	199.535	1324.6	FLAG_ALFA_VSVG
B07n101	878.46	136.12	1718.15	196.4	898.4	FLAG_ALFA_VSVG
B07n103	2198.48	184.43	4754.115	239.925	3079.4	FLAG_ALFA_VSVG
B07n102	917.45	188.4	2336.625	164.15	1299	FLAG_ALFA_VSVG
B07n104	2247.12	153.98	5767.65	220.3	2207.4	FLAG_ALFA_VSVG
B07n105	3394.14	179.54	6263.87	275.205	4221.4	FLAG_ALFA_VSVG
B07n106	4225.44	180.18	9878.44	309.19	5324.6	FLAG_ALFA_VSVG
B07n113	2003.84	185.95	5039.33	222.69	2604.2	FLAG_ALFA_VSVG
B07n107	927.04	141.16	1845.2	195.45	929.8	FLAG_ALFA_VSVG
B07n109	3695.07	204.6	6733.45	219.3	2882.44	FLAG_ALFA_VSVG
B07n111	1547.67	187	3593.35	175.45	1816.82	FLAG_ALFA_VSVG
B07n108	1457.21	183	3158.3	169.9	2128.61	FLAG_ALFA_VSVG
B07n114	894.02	177.74	1452.995	197.02	1048.7	FLAG_ALFA_VSVG
B07n110	2310.26	189.4	4735.95	188.7	2225.93	FLAG_ALFA_VSVG
B07n115	4244.44	204.4	7525.4	219.9	2992.46	FLAG_ALFA_VSVG
B07n116	3280.32	185.2	7229.15	199.2	3144.62	FLAG_ALFA_VSVG
B07n120	7680.2	199.3	20958.33	721.03	10478.8	FLAG_ALFA_VSVG
B07n118	889.9	141.42	1569.95	196.55	806.8	FLAG_ALFA_VSVG
B07n123	3102.2	183.82	5610.51	252.92	3569.1	FLAG_ALFA_VSVG
B07n121	823.68	147.88	1715.35	199.3	834	FLAG_ALFA_VSVG
B07n112	2019.21	182.3	5651.725	190.625	4427.32	FLAG_ALFA_VSVG
B07n119	2150.2	180.53	5189.51	220.535	2617.2	FLAG_ALFA_VSVG
B07n125	3202.2	178.82	5464.255	271.725	3807.4	FLAG_ALFA_VSVG
B07n126	1495.24	146.3	2953.325	204.275	1511.2	FLAG_ALFA_VSVG
B07n132	1292.84	191.44	2786.4	214.2	1292	FLAG_ALFA_VSVG
B07n127	4393.46	200.8	6094.7	217.25	2812.6	FLAG_ALFA_VSVG
B07n130	2933.82	182.5	7494.57	246.17	3716.1	FLAG_ALFA_VSVG
B07n131	6056.12	183.63	13164.475	315	5678	FLAG_ALFA_VSVG
B07n128	1511.86	183.06	3442.87	207	1889.1	FLAG_ALFA_VSVG
B07n134	1721.64	179.42	3917.2	218.97	2231.2	FLAG_ALFA_VSVG
B07n135	1000.76	148.58	1938.4	198.05	972.2	FLAG_ALFA_VSVG
B07n137	1346.06	154.08	2988.35	205.65	1289.6	FLAG_ALFA_VSVG
B07n136	4255.88	149.48	8214.3	304.15	4872.6	FLAG_ALFA_VSVG
B07n139	1704.36	139.35	3376.275	209.775	1446.8	FLAG_ALFA_VSVG
B07n140	1228.36	148.6	2710.675	203	1177.4	FLAG_ALFA_VSVG
B07n143	1773.3	179.6	2425.13	205.09	1600	FLAG_ALFA_VSVG
B07n138	948.42	189.4	2118.3	160.95	1301.04	FLAG_ALFA_VSVG
B07n142	1279.9	175.18	1704.26	199.855	1228	FLAG_ALFA_VSVG
B07n141	1618.26	176.2	3759.5	169.9	2070.22	FLAG_ALFA_VSVG
B07n144	851.26	165.04	1959.05	198.8	912.5	FLAG_ALFA_VSVG
B07n145	2475.86	161.9	5829.825	238.2	2460.2	FLAG_ALFA_VSVG
B07n146	4558.74	152.27	4003.9	218.675	2372.7	FLAG_ALFA_VSVG
B07n147	1090.52	192.4	2560.1	161.3	1357	FLAG_ALFA_VSVG
B07n148	2312.24	196.6	4433.25	193.425	1863.8	FLAG_ALFA_VSVG
B07n149	2431.3	185.11	4600.73	240.01	2946	FLAG_ALFA_VSVG
B07n151	1508.12	184.8	3279.325	175.1	2531.64	FLAG_ALFA_VSVG
B07n150	1022.28	144.62	1974.175	201.1	1012.7	FLAG_ALFA_VSVG
B07n153	838.14	146.28	1391.05	196.45	822	FLAG_ALFA_VSVG
B07n154	946.5	147.04	1743.25	199.8	931.6	FLAG_ALFA_VSVG
B07n155	2416.36	181.2	5556.4	189.5	3241.71	FLAG_ALFA_VSVG
B07n157	1488.36	187.9	3337.365	206.745	1758.9	FLAG_ALFA_VSVG
B07n158	1141.6	177.04	2374.95	208.23	1182.3	FLAG_ALFA_VSVG
B07n159	2392.88	165.88	6166.85	230.9	2272.7	FLAG_ALFA_VSVG
B07n156	2066	190.1	5414.95	186.2	2505.34	FLAG_ALFA_VSVG
B07n161	2013.98	184	3704.45	186	1868.18	FLAG_ALFA_VSVG
B07n162	1663.75	186.3	3785.4	176.75	1873.06	FLAG_ALFA_VSVG
B07n164	2124.48	180.4	4300.15	181.7	1944.96	FLAG_ALFA_VSVG
B07n165	1019.08	181.22	2401.87	196.825	1057.8	FLAG_ALFA_VSVG
B07n166	2398.42	187.48	5617.44	232.56	2512.6	FLAG_ALFA_VSVG
B07n167	6538.98	178.9	9583.76	401.23	6314.8	FLAG_ALFA_VSVG
B07n168	4224.44	181.14	8905.41	297.58	4028.4	FLAG_ALFA_VSVG
B07n170	2755.87	185.8	5623.9	205.55	3531.36	FLAG_ALFA_VSVG
B07n174	3065.64	149.29	8759.2	241.55	2976.6	FLAG_ALFA_VSVG
B07n171	3872.5	185	7464	224.95	3284.96	FLAG_ALFA_VSVG
B07n172	3010.46	180.6	5996.75	190.6	4035	FLAG_ALFA_VSVG
B07n175	5850.06	185.42	7550.635	288.69	4433.5	FLAG_ALFA_VSVG
B07n176	918.12	142.15	1588.475	194.525	855.2	FLAG_ALFA_VSVG
B07n177	1405.96	184.34	2850.99	205.555	1498.1	FLAG_ALFA_VSVG
B07n178	3949.56	158.16	8458.575	274.95	3826.3	FLAG_ALFA_VSVG
B07n179	986.2	141.93	1476	197.1	902	FLAG_ALFA_VSVG
B07n180	1097.96	174.88	1442.445	196.235	1039.4	FLAG_ALFA_VSVG
B07n184	3334.6	159.88	7685.25	265.9	3345.6	FLAG_ALFA_VSVG
B07n181	4681.52	162.48	8867.4	331.8	5259.5	FLAG_ALFA_VSVG
B07n182	2908.6	188.82	5352.27	247.59	2990.4	FLAG_ALFA_VSVG
B07n183	4940.44	181.24	8912.655	344.46	4951.6	FLAG_ALFA_VSVG
B07n187	5216.31	192.2	10460.9	251.55	6757.18	FLAG_ALFA_VSVG
B07n185	2276.34	181.96	4238.3	231.86	2331.8	FLAG_ALFA_VSVG
B07n189	3329.12	182.8	7514.23	264.41	3232.4	FLAG_ALFA_VSVG
B07n186	3063.62	178	6340.6	213	4217.53	FLAG_ALFA_VSVG
B07n190	7223.36	177.03	8548.08	413.54	6331.6	FLAG_ALFA_VSVG
B07n188	1787.4	203.4	2643.475	201.3	1184.89	FLAG_ALFA_VSVG
B07n193	1024.04	152.86	2004.75	198.8	979.4	FLAG_ALFA_VSVG
B07n194	3523.51	194.4	5108.425	205.625	1954.44	FLAG_ALFA_VSVG
B07n195	291.08	141.78	7709.025	689.175	3065	FLAG_ALFA_VSVG
B07n196	837.1	143.1	1830.575	207.125	1050.5	FLAG_ALFA_VSVG
B07n199	6497.2	181.4	7536.69	299	4551.4	FLAG_ALFA_VSVG
B07n200	3720.16	150.66	7409.25	258.4	3292.5	FLAG_ALFA_VSVG
B07n204	4036.04	155.79	7860.05	274.35	3627.4	FLAG_ALFA_VSVG
B07n201	3941.12	147.6	7934.1	305.95	3911.6	FLAG_ALFA_VSVG
B07n203	2120.82	191.4	5513.95	187.925	2400.31	FLAG_ALFA_VSVG
