epitope	well	pos	truth	total	fracPosInPosWells	fracPosInNegWells	fracPos	truthState	cp	cycle	row	col
ALFA	A10	0	0	6733	NA	0	0	FALSE	cycle3.ch1	cycle3	A	10
ALFA	A07	0	0	7430	NA	0	0	FALSE	cycle3.ch1	cycle3	A	7
ALFA	B07	5883	6822	6845	0.86235708003518	0.859459459459459	0.86235708003518	TRUE	cycle3.ch1	cycle3	B	7
ALFA	B10	8401	10165	10202	0.826463354648303	0.823465987061361	0.826463354648303	TRUE	cycle3.ch1	cycle3	B	10
ALFA	C10	0	0	126	NA	0	0	FALSE	cycle3.ch1	cycle3	C	10
ALFA	C07	0	0	124	NA	0	0	FALSE	cycle3.ch1	cycle3	C	7
ALFA	D07	0	0	6015	NA	0	0	FALSE	cycle3.ch1	cycle3	D	7
ALFA	D10	0	0	6071	NA	0	0	FALSE	cycle3.ch1	cycle3	D	10
ALFA	E07	5374	5966	6092	0.90077103586993	0.882140512147078	0.90077103586993	TRUE	cycle3.ch1	cycle3	E	7
ALFA	E10	6208	6984	7096	0.888888888888889	0.874859075535513	0.888888888888889	TRUE	cycle3.ch1	cycle3	E	10
ALFA	F07	7897	8139	8221	0.97026661752058	0.960588736163484	0.97026661752058	TRUE	cycle3.ch1	cycle3	F	7
ALFA	F10	7723	8057	8151	0.958545364279509	0.947491105385842	0.958545364279509	TRUE	cycle3.ch1	cycle3	F	10
ALFA	G07	143	224	225	0.638392857142857	0.635555555555556	0.638392857142857	TRUE	cycle3.ch1	cycle3	G	7
ALFA	A08	3	0	7644	Inf	0.000392464678178964	0.000392464678178964	FALSE	cycle3.ch1	cycle3	A	8
ALFA	A11	1	0	6551	Inf	0.000152648450618226	0.000152648450618226	FALSE	cycle3.ch1	cycle3	A	11
ALFA	B08	1	0	9332	Inf	0.000107158165452207	0.000107158165452207	FALSE	cycle3.ch1	cycle3	B	8
ALFA	B11	1	0	6103	Inf	0.000163853842372604	0.000163853842372604	FALSE	cycle3.ch1	cycle3	B	11
ALFA	C08	0	0	10771	NA	0	0	FALSE	cycle3.ch1	cycle3	C	8
ALFA	C11	0	0	2348	NA	0	0	FALSE	cycle3.ch1	cycle3	C	11
ALFA	D08	0	0	5554	NA	0	0	FALSE	cycle3.ch1	cycle3	D	8
ALFA	D11	0	0	2310	NA	0	0	FALSE	cycle3.ch1	cycle3	D	11
ALFA	E08	12	18	18	0.666666666666667	0.666666666666667	0.666666666666667	TRUE	cycle3.ch1	cycle3	E	8
ALFA	E11	159	233	239	0.682403433476395	0.665271966527197	0.682403433476395	TRUE	cycle3.ch1	cycle3	E	11
ALFA	F08	4450	4948	5026	0.899353274050121	0.885395941106248	0.899353274050121	TRUE	cycle3.ch1	cycle3	F	8
ALFA	F11	6707	7496	7653	0.89474386339381	0.876388344440089	0.89474386339381	TRUE	cycle3.ch1	cycle3	F	11
ALFA	G08	6875	7344	7417	0.936138344226579	0.926924632600782	0.936138344226579	TRUE	cycle3.ch1	cycle3	G	8
ALFA	G11	1162	1370	1396	0.848175182481752	0.832378223495702	0.848175182481752	TRUE	cycle3.ch1	cycle3	G	11
ALFA	A09	6202	14252	14463	0.43516699410609	0.4288183641015	0.43516699410609	TRUE	cycle3.ch1	cycle3	A	9
ALFA	A12	2785	8569	8666	0.325008752479869	0.321370874682668	0.325008752479869	TRUE	cycle3.ch1	cycle3	A	12
ALFA	B09	0	0	5499	NA	0	0	FALSE	cycle3.ch1	cycle3	B	9
ALFA	B12	0	0	4756	NA	0	0	FALSE	cycle3.ch1	cycle3	B	12
ALFA	C09	143	145	145	0.986206896551724	0.986206896551724	0.986206896551724	TRUE	cycle3.ch1	cycle3	C	9
ALFA	C12	145	152	152	0.953947368421053	0.953947368421053	0.953947368421053	TRUE	cycle3.ch1	cycle3	C	12
ALFA	D09	6	0	4610	Inf	0.00130151843817787	0.00130151843817787	FALSE	cycle3.ch1	cycle3	D	9
ALFA	D12	7	0	4576	Inf	0.00152972027972028	0.00152972027972028	FALSE	cycle3.ch1	cycle3	D	12
ALFA	G12	0	0	70	NA	0	0	FALSE	cycle3.ch1	cycle3	G	12
ALFA	H11	0	0	48	NA	0	0	FALSE	cycle3.ch1	cycle3	H	11
ALFA	H07	0	0	251	NA	0	0	FALSE	cycle3.ch1	cycle3	H	7
ALFA	H08	0	0	40	NA	0	0	FALSE	cycle3.ch1	cycle3	H	8
EGFP	A10	5878	6733	6733	0.87301351552057	0.87301351552057	0.87301351552057	TRUE	cycle1.ch1	cycle1	A	10
EGFP	A07	6326	7430	7430	0.851413189771198	0.851413189771198	0.851413189771198	TRUE	cycle1.ch1	cycle1	A	7
EGFP	B07	5883	6845	6845	0.859459459459459	0.859459459459459	0.859459459459459	TRUE	cycle1.ch1	cycle1	B	7
EGFP	B10	8402	10202	10202	0.82356400705744	0.82356400705744	0.82356400705744	TRUE	cycle1.ch1	cycle1	B	10
EGFP	C10	82	126	126	0.650793650793651	0.650793650793651	0.650793650793651	TRUE	cycle1.ch1	cycle1	C	10
EGFP	C07	87	124	124	0.701612903225806	0.701612903225806	0.701612903225806	TRUE	cycle1.ch1	cycle1	C	7
EGFP	D07	5042	6015	6015	0.838237738985869	0.838237738985869	0.838237738985869	TRUE	cycle1.ch1	cycle1	D	7
EGFP	D10	4390	6071	6071	0.723109866578817	0.723109866578817	0.723109866578817	TRUE	cycle1.ch1	cycle1	D	10
EGFP	E07	5378	6092	6092	0.8827971109652	0.8827971109652	0.8827971109652	TRUE	cycle1.ch1	cycle1	E	7
EGFP	E10	6214	7096	7096	0.875704622322435	0.875704622322435	0.875704622322435	TRUE	cycle1.ch1	cycle1	E	10
EGFP	F07	7897	8221	8221	0.960588736163484	0.960588736163484	0.960588736163484	TRUE	cycle1.ch1	cycle1	F	7
EGFP	F10	7724	8151	8151	0.947613789719053	0.947613789719053	0.947613789719053	TRUE	cycle1.ch1	cycle1	F	10
EGFP	G07	143	225	225	0.635555555555556	0.635555555555556	0.635555555555556	TRUE	cycle1.ch1	cycle1	G	7
EGFP	A08	4898	7644	7644	0.640763997906855	0.640763997906855	0.640763997906855	TRUE	cycle1.ch1	cycle1	A	8
EGFP	A11	3943	6551	6551	0.601892840787666	0.601892840787666	0.601892840787666	TRUE	cycle1.ch1	cycle1	A	11
