id	epi1	epi2	epi3
1	STREPII	V5	OLLAS
2	ALFA	V5	STREPII
3	V5	OLLAS	ALFA
4	VSVG	V5	OLLAS
5	STAG	V5	OLLAS
6	V5	MYC	ALFA
7	STAG	HA	V5
8	ALFA	STREPII	OLLAS
9	OLLAS	STAG	STREPII
10	STREPII	VSVG	V5
11	STAG	VSVG	V5
12	STREPII	V5	STAG
13	STREPII	MYC	V5
14	ALFA	V5	STAG
15	OLLAS	STAG	HA
16	STREPII	ALFA	STAG
17	OLLAS	V5	MYC
18	ALFA	HA	V5
19	OLLAS	STREPII	MYC
20	ALFA	V5	VSVG
21	ALFA	STAG	OLLAS
22	OLLAS	STREPII	HA
23	ALFA	OLLAS	MYC
24	STAG	MYC	V5
25	OLLAS	HA	ALFA
26	ALFA	HA	STREPII
27	MYC	STREPII	STAG
28	HA	OLLAS	V5
29	FLAG	V5	STREPII
30	OLLAS	STAG	VSVG
31	ALFA	STREPII	MYC
32	ALFA	VSVG	OLLAS
33	OLLAS	V5	FLAG
34	ALFA	HA	STAG
35	ALFA	STREPII	VSVG
36	STAG	VSVG	HA
37	STREPII	HA	V5
38	STREPII	STAG	HA
39	OLLAS	STREPII	VSVG
40	ALFA	STAG	MYC
41	HA	OLLAS	FLAG
42	VSVG	STREPII	STAG
43	STREPII	MYC	HA
44	STREPII	VSVG	HA
45	OLLAS	STAG	MYC
46	ALFA	STAG	VSVG
47	HA	OLLAS	MYC
48	OLLAS	FLAG	ALFA
49	VSVG	HA	V5
50	V5	MYC	HA
51	FLAG	STREPII	HA
52	FLAG	V5	VSVG
53	VSVG	MYC	V5
54	OLLAS	VSVG	MYC
55	FLAG	ALFA	STREPII
56	ALFA	HA	VSVG
57	FLAG	V5	STAG
58	V5	ALFA	FLAG
59	OLLAS	VSVG	HA
60	FLAG	STAG	HA
61	STAG	MYC	HA
62	FLAG	STREPII	STAG
63	VSVG	MYC	HA
64	VSVG	STREPII	MYC
65	OLLAS	STREPII	FLAG
66	V5	MYC	FLAG
67	FLAG	ALFA	STAG
68	VSVG	FLAG	STREPII
69	OLLAS	VSVG	FLAG
70	ALFA	HA	MYC
71	VSVG	FLAG	STAG
72	ALFA	HA	FLAG
73	V5	HA	FLAG
74	HA	MYC	FLAG
75	OLLAS	STAG	FLAG
76	MYC	FLAG	STREPII
77	OLLAS	FLAG	MYC
78	FLAG	ALFA	MYC
79	FLAG	ALFA	VSVG
80	MYC	FLAG	VSVG
81	MYC	FLAG	STAG
82	ALFA	VSVG	MYC
83	VSVG	STAG	MYC
84	FLAG	VSVG	HA
