well	row	col	tcId	treatment	poolId	bcdId	sgId	gene	groupId
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	1	MAD2L2_1_2	MAD2L2	MAD2L2_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	11	CCNA2_1_1	CCNA2	CCNA2_1_1_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	31	KIF4A_1_1	KIF4A	KIF4A_1_1_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	21	CDCA8_1_2	CDCA8	CDCA8_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	2	PTTG1_1_1	PTTG1	PTTG1_1_1_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	12	PTTG1_1_2	PTTG1	PTTG1_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	32	UHRF1_1_2	UHRF1	UHRF1_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	22	ATM_1_1	ATM	ATM_1_1_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	3	SMC3_1_1	SMC3	SMC3_1_1_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	23	CDCA8_1_1	CDCA8	CDCA8_1_1_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	16	LATS1_1_2	LATS1	LATS1_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	13	CHEK2_1_1	CHEK2	CHEK2_1_1_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	4	MAPRE1_1_2	MAPRE1	MAPRE1_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	24	CHEK2_1_2	CHEK2	CHEK2_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	14	PAK4_1_1	PAK4	PAK4_1_1_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	34	PAK4_1_2	PAK4	PAK4_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	28	MAPRE2_1_1	MAPRE2	MAPRE2_1_1_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	5	MAPRE1_1_1	MAPRE1	MAPRE1_1_1_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	15	CHAF1B_1_2	CHAF1B	CHAF1B_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	35	MAP3K8_1_2	MAP3K8	MAP3K8_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	72	NCAPG2_1_2	NCAPG2	NCAPG2_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	6	STAG1_1_1	STAG1	STAG1_1_1_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	36	ZWINT_1_2	ZWINT	ZWINT_1_2_MCF10A-203
NA	NA	NA	MCF10A-203	pV2TUd12_M71	71	20	STAG1_1_2	STAG1	STAG1_1_2_MCF10A-203
