well	row	col	tcId	treatment	poolId
A01	1	1	MCF10A-203	pV2TUd12_M71	71
A02	1	2	MCF10A-203	pV2TUd12_M71	71
A03	1	3	MCF10A-203	pV2TUd12_M71	71
A04	1	4	MCF10A-203	pV2TUd12_M71	71
A05	1	5	MCF10A-203	pV2TUd12_M71	71
A06	1	6	MCF10A-203	pV2TUd12_M71	71
B01	2	1	MCF10A-203	pV2TUd12_M71	71
B02	2	2	MCF10A-203	pV2TUd12_M71	71
B03	2	3	MCF10A-203	pV2TUd12_M71	71
B04	2	4	MCF10A-203	pV2TUd12_M71	71
B05	2	5	MCF10A-203	pV2TUd12_M71	71
B06	2	6	MCF10A-203	pV2TUd12_M71	71
C01	3	1	MCF10A-203	pV2TUd12_M72	72
C02	3	2	MCF10A-203	pV2TUd12_M72	72
C03	3	3	MCF10A-203	pV2TUd12_M72	72
C04	3	4	MCF10A-203	pV2TUd12_M72	72
C05	3	5	MCF10A-203	pV2TUd12_M72	72
C06	3	6	MCF10A-203	pV2TUd12_M72	72
D01	4	1	MCF10A-203	pV2TUd12_M72	72
D02	4	2	MCF10A-203	pV2TUd12_M72	72
D03	4	3	MCF10A-203	pV2TUd12_M72	72
D04	4	4	MCF10A-203	pV2TUd12_M72	72
D05	4	5	MCF10A-203	pV2TUd12_M72	72
D06	4	6	MCF10A-203	pV2TUd12_M72	72
E01	5	1	MCF10A-203	pV2TUd12_M73	73
E02	5	2	MCF10A-203	pV2TUd12_M73	73
E03	5	3	MCF10A-203	pV2TUd12_M73	73
E04	5	4	MCF10A-203	pV2TUd12_M73	73
E05	5	5	MCF10A-203	pV2TUd12_M73	73
E06	5	6	MCF10A-203	pV2TUd12_M73	73
F01	6	1	MCF10A-203	pV2TUd12_M73	73
F02	6	2	MCF10A-203	pV2TUd12_M73	73
F03	6	3	MCF10A-203	pV2TUd12_M73	73
F04	6	4	MCF10A-203	pV2TUd12_M73	73
F05	6	5	MCF10A-203	pV2TUd12_M73	73
F06	6	6	MCF10A-203	pV2TUd12_M73	73
G01	7	1	MCF10A-203	pV2TUd12_M74	74
G02	7	2	MCF10A-203	pV2TUd12_M74	74
G03	7	3	MCF10A-203	pV2TUd12_M74	74
G04	7	4	MCF10A-203	pV2TUd12_M74	74
G05	7	5	MCF10A-203	pV2TUd12_M74	74
G06	7	6	MCF10A-203	pV2TUd12_M74	74
H01	8	1	MCF10A-203	pV2TUd12_M74	74
H02	8	2	MCF10A-203	pV2TUd12_M74	74
H03	8	3	MCF10A-203	pV2TUd12_M74	74
H04	8	4	MCF10A-203	pV2TUd12_M74	74
H05	8	5	MCF10A-203	pV2TUd12_M74	74
H06	8	6	MCF10A-203	pV2TUd12_M74	74
A07	1	7	MCF10A-203	pV2TUd12_M71	71
A08	1	8	MCF10A-203	pV2TUd12_M71	71
A09	1	9	MCF10A-203	pV2TUd12_M71	71
A10	1	10	MCF10A-203	pV2TUd12_M71	71
A11	1	11	MCF10A-203	pV2TUd12_M71	71
A12	1	12	MCF10A-203	pV2TUd12_M71	71
B07	2	7	MCF10A-203	pV2TUd12_M71	71
B08	2	8	MCF10A-203	pV2TUd12_M71	71
B09	2	9	MCF10A-203	pV2TUd12_M71	71
B10	2	10	MCF10A-203	pV2TUd12_M71	71
B11	2	11	MCF10A-203	pV2TUd12_M71	71
B12	2	12	MCF10A-203	no_virus	0
C07	3	7	MCF10A-203	pV2TUd12_M72	72
C08	3	8	MCF10A-203	pV2TUd12_M72	72
C09	3	9	MCF10A-203	pV2TUd12_M72	72
C10	3	10	MCF10A-203	pV2TUd12_M72	72
C11	3	11	MCF10A-203	pV2TUd12_M72	72
C12	3	12	MCF10A-203	pV2TUd12_M72	72
D07	4	7	MCF10A-203	pV2TUd12_M72	72
D08	4	8	MCF10A-203	pV2TUd12_M72	72
D09	4	9	MCF10A-203	pV2TUd12_M72	72
D10	4	10	MCF10A-203	pV2TUd12_M72	72
D11	4	11	MCF10A-203	pV2TUd12_M72	72
D12	4	12	MCF10A-203	no_virus	0
E07	5	7	MCF10A-203	pV2TUd12_M73	73
E08	5	8	MCF10A-203	pV2TUd12_M73	73
E09	5	9	MCF10A-203	pV2TUd12_M73	73
E10	5	10	MCF10A-203	pV2TUd12_M73	73
E11	5	11	MCF10A-203	pV2TUd12_M73	73
E12	5	12	MCF10A-203	pV2TUd12_M73	73
F07	6	7	MCF10A-203	pV2TUd12_M73	73
F08	6	8	MCF10A-203	pV2TUd12_M73	73
F09	6	9	MCF10A-203	pV2TUd12_M73	73
F10	6	10	MCF10A-203	pV2TUd12_M73	73
F11	6	11	MCF10A-203	pV2TUd12_M73	73
F12	6	12	MCF10A-203	no_virus	0
G07	7	7	MCF10A-203	pV2TUd12_M74	74
G08	7	8	MCF10A-203	pV2TUd12_M74	74
G09	7	9	MCF10A-203	pV2TUd12_M74	74
G10	7	10	MCF10A-203	pV2TUd12_M74	74
G11	7	11	MCF10A-203	pV2TUd12_M74	74
G12	7	12	MCF10A-203	pV2TUd12_M74	74
H07	8	7	MCF10A-203	pV2TUd12_M74	74
H08	8	8	MCF10A-203	pV2TUd12_M74	74
H09	8	9	MCF10A-203	pV2TUd12_M74	74
H10	8	10	MCF10A-203	pV2TUd12_M74	74
H11	8	11	MCF10A-203	pV2TUd12_M74	74
H12	8	12	MCF10A-203	no_virus	0
